symb,xymd,open,high,low,clos,diff,rate,gvol
NAS@SOX,20230710,3587.05,3655.91,3586.41,3651.6,73.87,2.06,0
NAS@SOX,20230707,3583.56,3633.79,3573.33,3577.73,0.24,0.01,0
NAS@SOX,20230706,3559.35,3581.63,3532.69,3577.49,-44.83,-1.24,0
NAS@SOX,20230705,3672.39,3683.72,3622.1,3622.32,-81.3,-2.2,0
NAS@SOX,20230703,3691.28,3713.91,3663.45,3703.62,30.56,0.83,0
NAS@SOX,20230630,3654.74,3685.76,3644.03,3673.06,58.88,1.63,0
NAS@SOX,20230629,3626.99,3627.25,3583.49,3614.18,4.7,0.13,0
NAS@SOX,20230628,3588.91,3644.96,3580.83,3609.48,-32.93,-0.9,0
NAS@SOX,20230627,3527.25,3647.01,3517.52,3642.41,126.64,3.6,0
NAS@SOX,20230626,3527.65,3582.26,3515.51,3515.77,9.06,0.26,0
NAS@SOX,20230623,3508.01,3526.97,3489.13,3506.71,-63.16,-1.77,0
NAS@SOX,20230622,3525.52,3580.66,3523.78,3569.87,20.14,0.57,0
NAS@SOX,20230621,3624.12,3636.91,3548.39,3549.73,-97.83,-2.68,0
NAS@SOX,20230620,3666.21,3693.41,3616.05,3647.56,-25.58,-0.7,0
NAS@SOX,20230616,3738.69,3743.73,3671.27,3673.14,-34.92,-0.94,0
NAS@SOX,20230615,3698.56,3736.49,3684.37,3708.06,-31.69,-0.85,0
NAS@SOX,20230614,3670.33,3740.7,3653.75,3739.75,56.09,1.52,0
NAS@SOX,20230613,3694.81,3711.81,3646.36,3683.66,42.0,1.15,0
NAS@SOX,20230612,3567.82,3644.86,3565.98,3641.66,116.69,3.31,0
NAS@SOX,20230609,3559.38,3580.43,3508.72,3524.97,10.65,0.3,0
NAS@SOX,20230608,3484.1,3521.36,3469.45,3514.32,37.15,1.07,0
NAS@SOX,20230607,3512.65,3557.0,3469.72,3477.17,-11.17,-0.32,0
NAS@SOX,20230606,3426.89,3504.42,3417.51,3488.34,44.22,1.28,0
NAS@SOX,20230605,3488.59,3489.09,3430.28,3444.12,-57.28,-1.64,0
NAS@SOX,20230602,3537.72,3546.42,3478.03,3501.4,-5.34,-0.15,0
NAS@SOX,20230601,3469.7,3537.82,3437.89,3506.74,53.56,1.55,0
NAS@SOX,20230531,3484.33,3531.39,3451.87,3453.18,-96.21,-2.71,0
NAS@SOX,20230530,3628.47,3643.94,3537.65,3549.39,3.72,0.1,0
NAS@SOX,20230526,3387.43,3563.33,3386.34,3545.67,208.95,6.26,0
NAS@SOX,20230525,3281.39,3347.37,3238.22,3336.72,212.63,6.81,0
NAS@SOX,20230524,3111.55,3135.04,3091.29,3124.09,-53.35,-1.68,0
NAS@SOX,20230523,3196.75,3216.99,3171.94,3177.44,-37.6,-1.17,0
NAS@SOX,20230522,3180.56,3223.53,3173.87,3215.04,11.55,0.36,0
NAS@SOX,20230519,3214.98,3217.93,3186.35,3203.49,-20.0,-0.62,0
NAS@SOX,20230518,3139.73,3229.63,3136.76,3223.49,98.81,3.16,0
NAS@SOX,20230517,3077.55,3135.3,3055.97,3124.68,75.97,2.49,0
NAS@SOX,20230516,3044.44,3083.27,3044.03,3048.71,-3.93,-0.13,0
NAS@SOX,20230515,2979.5,3052.91,2971.76,3052.64,79.79,2.68,0
NAS@SOX,20230512,2988.58,2999.55,2944.07,2972.85,-5.87,-0.2,0
NAS@SOX,20230511,3000.37,3005.0,2950.86,2978.72,-18.79,-0.63,0
NAS@SOX,20230510,3003.62,3019.46,2968.41,2997.51,29.67,1.0,0
NAS@SOX,20230509,2983.2,2983.68,2960.01,2967.84,-56.57,-1.87,0
NAS@SOX,20230508,3009.84,3025.99,2979.85,3024.41,16.72,0.56,0
NAS@SOX,20230505,2942.28,3019.37,2930.64,3007.69,66.06,2.25,0
NAS@SOX,20230504,2932.55,2971.9,2913.11,2941.63,-15.74,-0.53,0
NAS@SOX,20230503,2980.65,3009.07,2956.74,2957.37,-39.49,-1.32,0
NAS@SOX,20230502,3020.19,3034.19,2969.08,2996.86,-22.23,-0.74,0
NAS@SOX,20230501,3007.23,3026.95,2997.17,3019.09,24.12,0.81,0
NAS@SOX,20230428,2958.17,2995.33,2945.38,2994.97,53.38,1.81,0
NAS@SOX,20230427,2921.9,2944.96,2867.51,2941.59,18.6,0.64,0
NAS@SOX,20230426,2941.3,2952.07,2908.41,2922.99,16.7,0.57,0
NAS@SOX,20230425,2987.22,2987.57,2905.94,2906.29,-101.22,-3.37,0
NAS@SOX,20230424,3017.92,3031.86,2987.92,3007.51,-13.93,-0.46,0
NAS@SOX,20230421,3026.79,3031.96,2995.91,3021.44,-24.84,-0.82,0
NAS@SOX,20230420,3015.77,3090.88,3015.77,3046.28,-0.1,0.0,0
NAS@SOX,20230419,3036.03,3053.27,3026.84,3046.38,-31.34,-1.02,0
NAS@SOX,20230418,3097.9,3116.35,3054.28,3077.72,11.04,0.36,0
NAS@SOX,20230417,3033.37,3067.89,3025.83,3066.68,-3.77,-0.12,0
NAS@SOX,20230414,3070.88,3107.25,3036.96,3070.45,-4.49,-0.15,0
NAS@SOX,20230413,3055.55,3092.15,3036.03,3074.94,22.42,0.73,0
NAS@SOX,20230412,3133.86,3140.72,3049.87,3052.52,-56.9,-1.83,0
NAS@SOX,20230411,3145.86,3146.0,3104.38,3109.42,-17.55,-0.56,0
NAS@SOX,20230410,3047.92,3127.9,3042.35,3126.97,55.21,1.8,0
NAS@SOX,20230406,3055.17,3093.82,3034.82,3071.76,-14.21,-0.46,0
NAS@SOX,20230405,3107.08,3111.8,3055.4,3085.97,-56.53,-1.8,0
NAS@SOX,20230404,3206.98,3209.31,3126.32,3142.5,-57.93,-1.81,0
NAS@SOX,20230403,3209.67,3222.33,3162.41,3200.43,-30.43,-0.94,0
NAS@SOX,20230331,3182.72,3233.94,3178.39,3230.86,22.6,0.7,0
NAS@SOX,20230330,3198.17,3230.08,3186.31,3208.26,51.15,1.62,0
NAS@SOX,20230329,3109.56,3176.85,3105.35,3157.11,99.84,3.27,0
NAS@SOX,20230328,3076.99,3076.99,3015.8,3057.27,-26.3,-0.85,0
NAS@SOX,20230327,3129.4,3141.83,3075.78,3083.57,-37.69,-1.21,0
NAS@SOX,20230324,3150.94,3154.36,3089.97,3121.26,-53.1,-1.67,0
NAS@SOX,20230323,3146.21,3216.32,3119.02,3174.36,82.65,2.67,0
NAS@SOX,20230322,3118.97,3201.6,3089.86,3091.71,-25.18,-0.81,0
NAS@SOX,20230321,3137.3,3169.86,3071.21,3116.89,2.18,0.07,0
NAS@SOX,20230320,3083.94,3123.12,3060.34,3114.71,31.19,1.01,0
NAS@SOX,20230317,3104.76,3127.42,3064.0,3083.52,-14.55,-0.47,0
NAS@SOX,20230316,2963.26,3102.01,2955.08,3098.07,120.68,4.05,0
NAS@SOX,20230315,2968.47,2985.49,2915.23,2977.39,-32.76,-1.09,0
NAS@SOX,20230314,2977.59,3026.93,2960.57,3010.15,88.44,3.03,0
