symb,xymd,open,high,low,clos,diff,rate,gvol
SPI@SPX,20230710,4394.23,4412.6,4389.92,4409.53,10.58,0.24,2171846550
SPI@SPX,20230707,4404.54,4440.39,4397.4,4398.95,-12.64,-0.29,2113381970
SPI@SPX,20230706,4422.62,4422.62,4385.05,4411.59,-35.23,-0.79,2226039200
SPI@SPX,20230705,4442.04,4454.06,4436.61,4446.82,-8.77,-0.2,2152798810
SPI@SPX,20230703,4450.48,4456.46,4442.29,4455.59,5.21,0.12,1243004400
SPI@SPX,20230630,4422.44,4458.48,4422.44,4450.38,53.94,1.23,2489651510
SPI@SPX,20230629,4374.94,4398.39,4371.97,4396.44,19.58,0.45,2152193150
SPI@SPX,20230628,4367.48,4390.35,4360.22,4376.86,-1.55,-0.04,2276949820
SPI@SPX,20230627,4337.36,4384.42,4335.0,4378.41,49.59,1.15,2286873270
SPI@SPX,20230626,4344.84,4362.06,4328.08,4328.82,-19.51,-0.45,2248760420
SPI@SPX,20230623,4354.17,4366.55,4341.34,4348.33,-33.56,-0.77,3056621300
SPI@SPX,20230622,4355.4,4382.25,4351.82,4381.89,16.2,0.37,2091147060
SPI@SPX,20230621,4380.01,4386.22,4360.14,4365.69,-23.02,-0.52,2324030890
SPI@SPX,20230620,4396.11,4400.15,4367.19,4388.71,-20.88,-0.47,2431767580
SPI@SPX,20230616,4440.95,4448.47,4407.44,4409.59,-16.25,-0.37,4195443310
SPI@SPX,20230615,4365.33,4439.2,4362.6,4425.84,53.25,1.22,2569292180
SPI@SPX,20230614,4366.29,4391.82,4337.85,4372.59,3.58,0.08,2641024710
SPI@SPX,20230613,4352.61,4375.37,4349.31,4369.01,30.08,0.69,2547779860
SPI@SPX,20230612,4308.32,4340.13,4304.37,4338.93,40.07,0.93,2457045650
SPI@SPX,20230609,4304.88,4322.62,4291.7,4298.86,4.93,0.11,2141505270
SPI@SPX,20230608,4268.69,4298.01,4261.07,4293.93,26.41,0.62,2224429190
SPI@SPX,20230607,4285.47,4299.19,4263.96,4267.52,-16.33,-0.38,2726818940
SPI@SPX,20230606,4271.34,4288.33,4263.09,4283.85,10.06,0.24,2246726400
SPI@SPX,20230605,4282.99,4299.28,4266.82,4273.79,-8.58,-0.2,2189296480
SPI@SPX,20230602,4241.01,4290.67,4241.01,4282.37,61.35,1.45,2730479870
SPI@SPX,20230601,4183.03,4232.43,4171.64,4221.02,41.19,0.99,2581648680
SPI@SPX,20230531,4190.74,4195.44,4166.15,4179.83,-25.69,-0.61,4400897950
SPI@SPX,20230530,4226.71,4231.1,4192.18,4205.52,0.07,0.0,2562757080
SPI@SPX,20230526,4156.16,4212.87,4156.16,4205.45,54.17,1.3,2591763940
SPI@SPX,20230525,4155.71,4165.74,4129.73,4151.28,36.04,0.88,2825869880
SPI@SPX,20230524,4132.96,4132.96,4103.98,4115.24,-30.34,-0.73,2275689930
SPI@SPX,20230523,4176.8,4185.68,4142.54,4145.58,-47.05,-1.12,2437623000
SPI@SPX,20230522,4190.78,4209.22,4179.68,4192.63,0.65,0.02,2217613960
SPI@SPX,20230519,4204.15,4212.91,4180.2,4191.98,-6.07,-0.14,2352764320
SPI@SPX,20230518,4157.68,4202.2,4153.5,4198.05,39.28,0.94,2409183560
SPI@SPX,20230517,4122.85,4164.67,4113.62,4158.77,48.87,1.19,2440897930
SPI@SPX,20230516,4127.95,4135.54,4109.86,4109.9,-26.38,-0.64,2176451200
SPI@SPX,20230515,4126.65,4141.25,4110.27,4136.28,12.2,0.3,2052455080
SPI@SPX,20230512,4138.54,4143.74,4099.12,4124.08,-6.54,-0.16,2076596320
SPI@SPX,20230511,4132.24,4132.8,4109.29,4130.62,-7.02,-0.17,2245622680
SPI@SPX,20230510,4143.74,4154.28,4098.92,4137.64,18.47,0.45,2344517720
SPI@SPX,20230509,4124.25,4130.35,4116.65,4119.17,-18.95,-0.46,2063699120
SPI@SPX,20230508,4136.98,4142.3,4123.81,4138.12,1.87,0.05,2097970020
SPI@SPX,20230505,4084.73,4147.02,4084.73,4136.25,75.03,1.85,2470165400
SPI@SPX,20230504,4082.55,4082.61,4048.28,4061.22,-29.53,-0.72,2876115100
SPI@SPX,20230503,4122.25,4148.3,4088.86,4090.75,-28.83,-0.7,2793300700
SPI@SPX,20230502,4164.1,4164.1,4089.72,4119.58,-48.29,-1.16,2638399720
SPI@SPX,20230501,4166.79,4186.92,4164.12,4167.87,-1.61,-0.04,2244433490
SPI@SPX,20230428,4129.3,4170.06,4127.17,4169.48,34.13,0.83,2723328080
SPI@SPX,20230427,4075.29,4138.24,4075.29,4135.35,79.36,1.96,2698412530
SPI@SPX,20230426,4087.78,4089.67,4049.35,4055.99,-15.64,-0.38,2698867820
SPI@SPX,20230425,4126.43,4126.43,4071.38,4071.63,-65.41,-1.58,2559843600
SPI@SPX,20230424,4132.07,4142.41,4117.77,4137.04,3.52,0.09,2113777660
SPI@SPX,20230421,4132.14,4138.02,4113.86,4133.52,3.73,0.09,2304130060
SPI@SPX,20230420,4130.48,4148.57,4114.57,4129.79,-24.73,-0.6,2453132510
SPI@SPX,20230419,4139.33,4162.57,4134.49,4154.52,-0.35,-0.01,2158289230
SPI@SPX,20230418,4164.26,4169.48,4140.36,4154.87,3.55,0.09,2124684260
SPI@SPX,20230417,4137.17,4151.72,4123.18,4151.32,13.68,0.33,2132427050
SPI@SPX,20230414,4140.11,4163.19,4113.2,4137.64,-8.58,-0.21,2077040800
SPI@SPX,20230413,4100.04,4150.26,4099.4,4146.22,54.27,1.33,2196995300
SPI@SPX,20230412,4121.72,4134.37,4086.94,4091.95,-16.99,-0.41,2242917710
SPI@SPX,20230411,4110.29,4124.26,4102.61,4108.94,-0.17,0.0,1989408800
SPI@SPX,20230410,4085.2,4109.5,4072.55,4109.11,4.09,0.1,1948962420
SPI@SPX,20230406,4081.15,4107.32,4069.84,4105.02,14.64,0.36,2072470320
SPI@SPX,20230405,4094.5,4099.69,4072.56,4090.38,-10.22,-0.25,2325149810
SPI@SPX,20230404,4128.03,4133.13,4086.87,4100.6,-23.91,-0.58,2264264200
SPI@SPX,20230403,4102.2,4127.66,4098.79,4124.51,15.2,0.37,2425239190
SPI@SPX,20230331,4056.18,4110.75,4056.18,4109.31,58.48,1.44,2516723260
SPI@SPX,20230330,4046.74,4057.85,4032.1,4050.83,23.02,0.57,2133759610
SPI@SPX,20230329,3999.53,4030.59,3999.53,4027.81,56.54,1.42,2265595660
SPI@SPX,20230328,3974.13,3979.2,3951.53,3971.27,-6.26,-0.16,1986603710
SPI@SPX,20230327,3982.93,4003.83,3970.49,3977.53,6.54,0.16,2461561560
SPI@SPX,20230324,3939.21,3972.74,3909.16,3970.99,22.27,0.56,2584795160
SPI@SPX,20230323,3959.21,4007.66,3919.05,3948.72,11.75,0.3,2797479140
SPI@SPX,20230322,4002.04,4039.49,3936.17,3936.97,-65.9,-1.65,2694608430
SPI@SPX,20230321,3975.89,4009.08,3971.19,4002.87,51.3,1.3,2947355540
SPI@SPX,20230320,3917.47,3956.62,3916.89,3951.57,34.93,0.89,2917994860
SPI@SPX,20230317,3958.69,3958.91,3901.27,3916.64,-43.64,-1.1,5761269540
SPI@SPX,20230316,3878.93,3964.46,3864.11,3960.28,68.35,1.76,3623445070
SPI@SPX,20230315,3876.74,3894.26,3838.24,3891.93,-27.36,-0.7,3703901270
SPI@SPX,20230314,3894.01,3937.29,3873.63,3919.29,63.53,1.65,3434915180
SPI@SPX,20230313,3835.12,3905.05,3808.86,3855.76,-5.83,-0.15,4001022050
SPI@SPX,20230310,3912.77,3934.05,3846.32,3861.59,-56.73,-1.45,3238481770
SPI@SPX,20230309,3998.66,4017.81,3908.7,3918.32,-73.69,-1.85,2604828560
SPI@SPX,20230308,3987.55,4000.41,3969.76,3992.01,5.64,0.14,2036782970
SPI@SPX,20230307,4048.26,4050.0,3980.31,3986.37,-62.05,-1.53,2261990430
SPI@SPX,20230306,4055.15,4078.49,4044.61,4048.42,2.78,0.07,2183396550
SPI@SPX,20230303,3998.02,4048.29,3995.17,4045.64,64.29,1.61,2228260880
SPI@SPX,20230302,3938.68,3990.84,3928.16,3981.35,29.96,0.76,2252262370
SPI@SPX,20230301,3963.34,3971.73,3939.05,3951.39,-18.76,-0.47,2225253320
SPI@SPX,20230228,3977.19,3997.5,3968.98,3970.15,-12.09,-0.3,2771735400
SPI@SPX,20230227,3992.36,4018.05,3973.55,3982.24,12.2,0.31,2068606140
SPI@SPX,20230224,3973.24,3978.25,3943.08,3970.04,-42.28,-1.05,2180170800
SPI@SPX,20230223,4018.6,4028.3,3969.19,4012.32,21.27,0.53,2308657960
SPI@SPX,20230222,4001.83,4017.37,3976.9,3991.05,-6.29,-0.16,2259720310
SPI@SPX,20230221,4052.35,4052.35,3995.19,3997.34,-81.75,-2.0,2347271200
SPI@SPX,20230217,4077.39,4081.51,4047.95,4079.09,-11.32,-0.28,2380094370
SPI@SPX,20230216,4114.75,4136.54,4089.49,4090.41,-57.19,-1.38,2264834580
SPI@SPX,20230215,4119.5,4148.11,4103.98,4147.6,11.47,0.28,2112266380
SPI@SPX,20230214,4126.7,4159.77,4095.01,4136.13,-1.16,-0.03,2219075510
SPI@SPX,20230213,4096.62,4138.9,4092.67,4137.29,46.83,1.14,2125959560
SPI@SPX,20230210,4068.92,4094.36,4060.79,4090.46,8.96,0.22,2312192920
SPI@SPX,20230209,4144.25,4156.23,4069.67,4081.5,-36.36,-0.88,2652617340
SPI@SPX,20230208,4153.47,4156.85,4111.67,4117.86,-46.14,-1.11,2543426660
SPI@SPX,20230207,4105.35,4176.54,4088.39,4164.0,52.92,1.29,2612787620
SPI@SPX,20230206,4119.57,4124.63,4093.38,4111.08,-25.4,-0.61,2284201080
SPI@SPX,20230203,4136.69,4182.36,4123.36,4136.48,-43.28,-1.04,2899964490
SPI@SPX,20230202,4158.68,4195.44,4141.88,4179.76,60.55,1.47,3391309420
SPI@SPX,20230201,4070.07,4148.95,4037.2,4119.21,42.61,1.05,2939837220
SPI@SPX,20230131,4020.85,4077.16,4020.44,4076.6,58.83,1.46,2865897030
SPI@SPX,20230130,4049.27,4063.85,4015.55,4017.77,-52.79,-1.3,2303537610
SPI@SPX,20230127,4053.72,4094.21,4048.7,4070.56,10.13,0.25,2572664060
SPI@SPX,20230126,4036.08,4061.57,4013.29,4060.43,44.21,1.1,2433218690
